modelid,rating_score,review_score,price_score,name,type,address1,address2,rating,themenum,latitude,longitude
1300,0.0,0.22476562360107485,0.44516960596979405,좌배머들코지,"관람,체험",없음,제주 서귀포시 남원읍 위미리 1757-16,0.0,24,33.2722568822788,126.662576284723
1301,0.0,0.23870891345579004,0.44516960596979405,어음분교1963,"관람,체험",제주 제주시 애월읍 어림비로 376,어음리 2922,0.0,24,33.4030990168034,126.338299035555
1302,0.0,0.0,0.44516960596979405,제주유아체험교육원(2025년3월예정),"관람,체험",제주 제주시 중산간동로 203,회천동 2307,0.0,24,33.5034728805877,126.610575282659
1303,0.0,0.23870891345579004,0.7524150969863477,바다쓰기,"관람,체험",제주 제주시 애월읍 하귀1길 138 바다쓰기,하귀1리 776,0.0,24,33.4773385606414,126.419065911569
1304,0.0,0.145577426848741,0.44516960596979405,장수물,"관람,체험",없음,제주 제주시 애월읍 수산리 2269,0.0,24,33.4545251422708,126.401398943811
1305,0.0,0.2507871405135877,0.44516960596979405,교래생태체험장,"관람,체험",제주 제주시 조천읍 교래4길 20-13,교래리 636,0.0,24,33.4261258303933,126.671234576946
1306,0.9874473521709421,0.3591221979722986,0.8586169922744362,첫경험충전소,"관람,체험",제주 서귀포시 이어도로 943 기영빌라건물 다크룸제주,법환동 398,4.9,24,33.239244253063,126.514159511659
1307,0.0,0.3996944774122159,0.44516960596979405,한라산영실,"관람,체험",없음,제주 서귀포시 도순동 산1,0.0,24,33.3231595226027,126.48600164487
1308,0.0,0.27097099710553485,0.44516960596979405,방사탑,체험여행,없음,제주 제주시 용담삼동 2580-55,0.0,24,33.5134019534296,126.484289502317
1309,0.0,0.09937205334428101,0.44516960596979405,푸리롱 유아숲체험원,"관람,체험",제주 서귀포시 1100로 882 서귀포자연휴양림,대포동 산1-8,0.0,24,33.3107804230256,126.459776529173
1310,0.906288469676671,0.4352733401920332,0.44516960596979405,돈내코세미또,"관람,체험",제주 서귀포시 돈내코로 137,상효동 1463,4.3,24,33.300359235556,126.582143515993
1311,0.0,0.0,0.44516960596979405,북촌숨비소리,체험여행,제주 제주시 조천읍 북촌7길 27,북촌리 1371,0.0,24,33.5503377040791,126.693090687437
1312,0.0,0.0,0.44516960596979405,제주시어린이집자연체험학습장,체험여행,제주 제주시 화북이동 황사평3길 28,제주특별자치도 제주시 화북이동 2882,0.0,24,33.4971100771742,126.566440088589
1313,0.0,0.06269678512839692,0.44516960596979405,제주곶자왈도립공원신평생태체험학교,체험여행,제주 서귀포시 대정읍 중산간서로 2596,신평리 371-1,0.0,24,33.2666781621772,126.259446474032
1314,0.0,0.19874410668856202,0.44516960596979405,희망감귤체험농장,"관람,체험",제주 서귀포시 남원읍 일주동로 6850,태흥리 624,0.0,24,33.2892999507767,126.747583596348
1315,0.9950093311241087,0.36570345189565895,0.6978807229788869,아라다이브,"수상,해양레저",제주 서귀포시 칠십리로 49,서귀동 667-2,4.96,24,33.2403775496592,126.562024814808
1316,0.0,0.06269678512839692,0.44516960596979405,강정만들기체험공방,체험여행,제주 서귀포시 표선면 성읍정의현로 35,성읍리 852,0.0,24,33.385704220925,126.801288309815
1317,0.0,0.301405698584187,0.44516960596979405,하도철새탐조대,"관람,체험",없음,제주 제주시 구좌읍 하도리 53-66,0.0,24,33.5123966274458,126.896618978788
1318,0.0,0.12539357025679385,0.44516960596979405,제주키위비자림농원,"관람,체험",제주 제주시 구좌읍 비자림로동3길 77-81,평대리 2850,0.0,24,33.5009950763412,126.812468466442
1319,0.0,0.36882280725289707,0.44516960596979405,서귀포 예래생태마을,체험마을,제주 서귀포시 예래로 82,상예동 518-4,0.0,24,33.2542595600794,126.397933908065
1320,0.0,0.0,0.44516960596979405,캠핑홀릭스,체험여행,제주 제주시 동문로9길 13-1 W360 2층,일도일동 1186,0.0,24,33.5140624255259,126.529300337742
1321,0.0,0.12539357025679385,0.7358353899661005,청정제주포크테마단지,체험여행,없음,제주 제주시 애월읍 소길리,0.0,24,33.4309006599676,126.380642534424
1322,0.0,0.09937205334428101,0.44516960596979405,의귀리체험휴양마을,"관람,체험",제주 서귀포시 남원읍 남조로381번길 11,의귀리 1523-1,0.0,24,33.312389422974,126.713489040614
1323,0.0,0.06269678512839692,0.7873366639572631,나들숲제주협동조합,체험여행,제주 제주시 번영로 472 1층(봉개동),봉개동 1945,0.0,24,33.4909385725246,126.60804555887
1324,0.9522311213486432,0.29811616003284297,0.44516960596979405,아연네하우스한라봉체험,"관람,체험",제주 서귀포시 남원읍 태위로215번길 14-40,위미리 949-1,4.63,24,33.2778243745799,126.674277084649
1325,0.0,0.18809035538519078,0.44516960596979405,소길리 녹색농촌체험휴양마을,체험여행,제주 제주시 애월읍 소길1길 15 소길리사무소,소길리 650-1,0.0,24,33.4400606358284,126.379915224579
1326,0.8990213115758019,0.2614408918169589,0.44516960596979405,애월읍소길리풋감마을,체험마을,제주 제주시 애월읍 소길1길 15,소길리 650-1,4.25,24,33.4400606358284,126.379915224579
